"Turtle","Trial","time","treatment","Species","Side","Behavior"
"86","Prelim_Trial","106","0","painted","Stimulus","Swimming"
"86","Trial_1","143","0","painted","Stimulus","Swimming"
"86","Trial_3","35","0","painted","Stimulus","Swimming"
"87","Prelim_Trial","162","1","painted","Stimulus","Swimming"
"87","Trial_1","103","1","painted","Stimulus","Swimming"
"87","Trial_2","184","1","painted","Stimulus","Swimming"
"87","Trial_3","124","1","painted","Stimulus","Swimming"
"88","Prelim_Trial","7","0.1","painted","Stimulus","Swimming"
"88","Trial_1","22","0.1","painted","Stimulus","Swimming"
"88","Trial_2","143","0.1","painted","Stimulus","Swimming"
"88","Trial_3","74","0.1","painted","Stimulus","Swimming"
"89","Prelim_Trial","42","1","painted","Stimulus","Swimming"
"89","Trial_1","175","1","painted","Stimulus","Swimming"
"89","Trial_2","32","1","painted","Stimulus","Swimming"
"89","Trial_3","229","1","painted","Stimulus","Swimming"
"90","Trial_2","122","0.1","painted","Stimulus","Swimming"
"91","Prelim_Trial","114","0","painted","Stimulus","Swimming"
"91","Trial_1","117","0","painted","Stimulus","Swimming"
"91","Trial_2","248","0","painted","Stimulus","Swimming"
"91","Trial_3","112","0","painted","Stimulus","Swimming"
"92","Prelim_Trial","69","0.1","painted","Stimulus","Swimming"
"92","Trial_1","119","0.1","painted","Stimulus","Swimming"
"92","Trial_2","20","0.1","painted","Stimulus","Swimming"
"92","Trial_3","167","0.1","painted","Stimulus","Swimming"
"93","Prelim_Trial","241","0","painted","Stimulus","Swimming"
"93","Trial_1","5","0","painted","Stimulus","Swimming"
"93","Trial_2","86","0","painted","Stimulus","Swimming"
"93","Trial_3","4","0","painted","Stimulus","Swimming"
"94","Prelim_Trial","155","0.1","painted","Stimulus","Swimming"
"94","Trial_1","54","0.1","painted","Stimulus","Swimming"
"94","Trial_2","57","0.1","painted","Stimulus","Swimming"
"94","Trial_3","27","0.1","painted","Stimulus","Swimming"
"95","Prelim_Trial","250","10","painted","Stimulus","Swimming"
"95","Trial_1","136","10","painted","Stimulus","Swimming"
"95","Trial_2","68","10","painted","Stimulus","Swimming"
"95","Trial_3","213","10","painted","Stimulus","Swimming"
"96","Prelim_Trial","73","1","painted","Stimulus","Swimming"
"96","Trial_1","18","1","painted","Stimulus","Swimming"
"96","Trial_2","73","1","painted","Stimulus","Swimming"
"96","Trial_3","193","1","painted","Stimulus","Swimming"
"107","Trial_1","0","0.1","fmt","Stimulus","Swimming"
"108","Prelim_Trial","0","0.1","fmt","Stimulus","Swimming"
"108","Trial_1","0","0.1","fmt","Stimulus","Swimming"
"108","Trial_2","0","0.1","fmt","Stimulus","Swimming"
"111","Prelim_Trial","0","1","fmt","Stimulus","Swimming"
"114","Trial_1","0","1","fmt","Stimulus","Swimming"
"114","Trial_3","0","1","fmt","Stimulus","Swimming"
"119","Trial_1","0","0","fmt","Stimulus","Swimming"
"119","Trial_2","0","0","fmt","Stimulus","Swimming"
"119","Trial_3","0","0","fmt","Stimulus","Swimming"
"122","Trial_1","0","0.1","fmt","Stimulus","Swimming"
"122","Trial_3","0","0.1","fmt","Stimulus","Swimming"
"124","Prelim_Trial","0","0","fmt","Stimulus","Swimming"
"125","Trial_1","0","1","fmt","Stimulus","Swimming"
"125","Trial_3","0","1","fmt","Stimulus","Swimming"
"126","Trial_3","0","1","fmt","Stimulus","Swimming"
"128","Trial_3","0","0.1","fmt","Stimulus","Swimming"
"129","Prelim_Trial","0","0.1","fmt","Stimulus","Swimming"
"129","Trial_1","0","0.1","fmt","Stimulus","Swimming"
"129","Trial_2","0","0.1","fmt","Stimulus","Swimming"
"131","Prelim_Trial","0","1","fmt","Stimulus","Swimming"
"132","Prelim_Trial","0","0.1","fmt","Stimulus","Swimming"
"132","Trial_2","0","0.1","fmt","Stimulus","Swimming"
"133","Prelim_Trial","0","10","fmt","Stimulus","Swimming"
"133","Trial_2","0","10","fmt","Stimulus","Swimming"
"134","Trial_2","0","10","fmt","Stimulus","Swimming"
"134","Trial_3","0","10","fmt","Stimulus","Swimming"
"136","Trial_3","0","1","fmt","Stimulus","Swimming"
"137","Trial_3","0","10","fmt","Stimulus","Swimming"
"58","Prelim_Trial","0","0","painted","Stimulus","Swimming"
"64","Trial_1","0","10","painted","Stimulus","Swimming"
"73","Prelim_Trial","0","0.1","painted","Stimulus","Swimming"
"73","Trial_1","0","0.1","painted","Stimulus","Swimming"
"74","Trial_1","0","10","painted","Stimulus","Swimming"
"76","Trial_3","0","0","painted","Stimulus","Swimming"
"78","Trial_1","0","10","painted","Stimulus","Swimming"
"78","Trial_3","0","10","painted","Stimulus","Swimming"
"79","Trial_1","0","10","painted","Stimulus","Swimming"
"79","Trial_3","0","10","painted","Stimulus","Swimming"
"82","Prelim_Trial","0","1","painted","Stimulus","Swimming"
"83","Trial_2","0","0","painted","Stimulus","Swimming"
"84","Trial_1","0","0.1","painted","Stimulus","Swimming"
"84","Trial_3","0","0.1","painted","Stimulus","Swimming"
"85","Trial_1","0","10","painted","Stimulus","Swimming"
"85","Trial_3","0","10","painted","Stimulus","Swimming"
"86","Trial_2","0","0","painted","Stimulus","Swimming"
"90","Prelim_Trial","0","0.1","painted","Stimulus","Swimming"
"90","Trial_1","0","0.1","painted","Stimulus","Swimming"
"90","Trial_3","0","0.1","painted","Stimulus","Swimming"
